ec	Genus
2.1.1.177	Ruminiclostridium_1
2.1.1.177	Gelria
2.1.1.182	Ruminiclostridium_1
2.1.1.182	Gelria
2.1.1.185	Ruminiclostridium_1
2.1.1.185	Blastomonas
2.1.1.185	Desulfobulbus
2.1.1.191	Azospira
2.1.1.191	Pseudorhodoferax
2.1.1.185	Staphylococcus
2.1.1.195	Gelria
2.1.1.193	Ruminiclostridium_1
2.1.1.185	Nitrospira
2.1.1.185	Geothrix
2.1.1.185	Acetobacterium
2.1.1.185	Desulfotomaculum
2.1.1.185	Propionibacterium
2.1.1.185	Methylocystis
2.1.1.185	Gelria
2.1.1.185	Caulobacter
2.1.1.187	Dechloromonas
2.1.1.187	Propionibacterium
2.1.1.191	Gelria
2.1.1.190	Ruminiclostridium_1
2.1.1.195	Ruminiclostridium_1
2.1.1.176	Ruminiclostridium_1
2.1.1.170	Micrococcus
2.1.1.176	Blastomonas
2.1.1.191	Caulobacter
2.1.1.192	Ruminiclostridium_1
1.1.1.90	Blastomonas
1.1.1.94	Ruminiclostridium_1
1.1.1.93	Achromobacter
1.1.1.93	Acidovorax
1.1.1.93	Simplicispira
1.1.1.85	Ruminiclostridium_1
1.1.1.60	Pseudorhodoferax
1.1.1.60	Azospira
1.1.1.81	Geothrix
1.3.1.12	Azospira
2.1.1.177	Smithella
1.1.1.81	Desulfovibrio
1.1.1.81	Azospira
1.1.1.81	Propionivibrio
1.1.1.79	Methylocystis
1.1.1.81	Simplicispira
1.1.1.81	Dechloromonas
1.1.1.79	Simplicispira
1.1.1.79	Propionivibrio
1.1.1.77	Ruminiclostridium_1
1.1.1.58	Propionivibrio
1.1.1.76	Pseudorhodoferax
1.1.1.69	Propionivibrio
1.1.1.69	Ruminiclostridium_1
1.1.1.76	Blastomonas
1.1.1.76	Paracoccus
1.1.1.58	Ruminiclostridium_1
1.1.1.60	Dechloromonas
1.1.1.60	Propionivibrio
1.1.1.6	Ruminiclostridium_1
1.1.1.60	Simplicispira
2.1.1.190	Blastomonas
1.8.98.1	Gelria
1.8.99.2	Gelria
1.8.4.8	Azospira
1.8.4.8	Sphingopyxis
1.8.5.2	Staphylococcus
1.8.4.8	Pseudorhodoferax
1.8.4.8	Dechloromonas
1.8.4.8	Silanimonas
1.8.4.8	Propionivibrio
1.8.4.8	Achromobacter
1.8.4.8	Blastomonas
1.8.4.8	Simplicispira
1.8.4.8	Geothrix
1.8.4.8	Methylocystis
1.97.1.4	Desulfotomaculum
1.97.1.4	Gelria
2.1.1.163	Gelria
1.8.99.3	Gelria
1.8.99.3	Desulfotomaculum
1.9.3.1	Pseudorhodoferax
1.9.3.1	Azospira
1.9.3.1	Smithella
1.97.1.4	Simplicispira
1.8.4.8	Paracoccus
1.8.4.8	Desulfovibrio
1.97.1.4	Desulfobulbus
1.97.1.4	Ruminiclostridium_1
1.97.1.4	Geothrix
1.9.3.1	Geothrix
1.9.3.1	Propionivibrio
1.9.3.1	Pseudoxanthomonas
1.8.99.5	Gelria
1.9.3.1	Silanimonas
2.1.1.104	Nitrospira
2.1.1.107	Ruminiclostridium_1
1.97.1.4	Smithella
2.1.1.190	Geothrix
2.1.1.191	Geothrix
2.1.1.190	Gelria
2.1.1.191	Simplicispira
2.1.1.191	Dechloromonas
2.1.1.191	Silanimonas
2.1.1.191	Propionivibrio
2.1.1.191	Blastomonas
2.1.1.191	Ruminiclostridium_1
1.97.1.4	Azospira
2.1.1.190	Methylocystis
2.1.1.190	Smithella
2.1.1.170	Desulfotomaculum
2.1.1.170	Gelria
2.1.1.196	Gelria
2.1.1.107	Acetobacterium
2.1.1.107	Gelria
2.1.1.13	Ruminiclostridium_1
2.1.1.130	Gelria
1.4.1.4	Azospira
1.4.1.4	Erysipelothrix
1.4.1.4	Sphingomonas
1.4.1.4	Brevundimonas
1.4.1.4	Paracoccus
1.4.1.4	Desulfovibrio
1.4.1.3	Simplicispira
1.4.1.3	Acidovorax
1.4.1.3	Dechloromonas
1.4.1.3	Achromobacter
1.4.1.3	Bradyrhizobium
1.4.1.3	Nitrospira
1.4.1.3	Geothrix
1.4.1.3	Acetobacterium
1.4.1.3	Pseudorhodoferax
1.4.1.4	Propionivibrio
1.4.1.9	Silanimonas
1.4.1.9	Blastomonas
1.4.1.4	Achromobacter
1.4.1.4	Ruminiclostridium_1
1.4.1.2	Propionibacterium
1.4.1.2	Methylocystis
1.4.1.14	Pseudorhodoferax
1.4.1.4	Pseudomonas
1.4.1.14	Desulfotomaculum
1.4.1.14	Achromobacter
1.4.1.21	Propionivibrio
1.4.1.4	Blastomonas
1.4.1.14	Ruminiclostridium_1
1.4.1.14	Blastomonas
1.4.1.14	Nitrospira
1.4.1.14	Erysipelothrix
1.4.1.14	Geothrix
1.4.1.14	Acetobacterium
1.4.1.14	Gelria
1.3.1.9	Gelria
1.4.1.4	Simplicispira
1.3.8.7	Methylocystis
1.3.1.9	Desulfotomaculum
1.3.1.98	Ruminiclostridium_1
1.4.1.2	Blastomonas
2.1.1.207	Ruminiclostridium_1
2.1.1.210	Blastomonas
2.1.1.210	Pseudorhodoferax
2.1.1.217	Ruminiclostridium_1
2.1.1.217	Desulfotomaculum
2.1.1.201	Nitrospira
2.1.1.219	Nitrospira
2.1.1.219	Desulfovibrio
2.1.1.219	Gelria
2.1.1.207	Gelria
2.1.1.207	Smithella
2.1.1.198	Ruminiclostridium_1
2.1.1.219	Propionibacterium
2.1.1.220	Gelria
2.1.1.207	Bacillus
2.1.1.201	Desulfobulbus
2.1.1.201	Bacillus
2.1.1.245	Acetobacterium
2.1.1.245	Gelria
2.1.1.245	Desulfotomaculum
2.1.1.250	Acetobacterium
2.1.1.199	Ruminiclostridium_1
2.1.1.265	Streptococcus
2.1.1.258	Gelria
2.1.1.258	Desulfotomaculum
2.1.1.197	Simplicispira
2.1.1.197	Pseudorhodoferax
2.1.1.71	Methylocystis
2.1.1.67	Silanimonas
2.1.1.72	Ruminiclostridium_1
2.1.1.201	Smithella
2.1.1.201	Propionibacterium
2.1.1.201	Staphylococcus
2.1.1.201	Geothrix
2.1.1.77	Blastomonas
2.1.1.74	Methylocystis
2.1.1.201	Micrococcus
2.1.1.201	Desulfotomaculum
2.1.1.201	Gelria
1.3.99.28	Pseudorhodoferax
1.3.99.28	Sphingopyxis
1.3.99.23	Desulfovibrio
1.3.99.22	Staphylococcus
1.3.99.22	Novosphingobium
1.3.99.22	Gelria
1.3.99.22	Nitrospira
1.3.99.22	Desulfovibrio
1.3.99.22	Phenylobacterium
1.3.99.22	Pseudoxanthomonas
1.3.99.22	Erysipelothrix
1.3.99.22	Geothrix
1.3.99.28	Acetobacterium
1.3.99.28	Variovorax
1.3.99.28	Sphingomonas
1.3.99.28	Blastomonas
1.3.99.22	Sphingomonas
1.3.99.22	Brevundimonas
1.3.99.22	Paracoccus
1.3.99.22	Variovorax
1.3.99.26	Blastomonas
1.3.99.26	Sphingomonas
1.3.99.26	Variovorax
1.3.99.22	Micrococcus
1.3.99.26	Acetobacterium
1.3.99.26	Pseudorhodoferax
1.3.99.26	Sphingopyxis
1.3.99.26	Caulobacter
1.3.99.26	Novosphingobium
1.3.99.27	Blastomonas
1.3.99.27	Pseudorhodoferax
1.3.99.22	Caulobacter
1.3.99.22	Desulfotomaculum
1.4.3.19	Acidovorax
1.4.3.19	Simplicispira
1.3.99.16	Blastomonas
1.3.99.22	Pseudorhodoferax
1.3.99.22	Propionibacterium
1.3.99.22	Methylocystis
1.3.99.22	Azospira
1.3.99.22	Smithella
1.3.99.22	Sphingopyxis
1.4.1.14	Desulfobulbus
1.3.8.7	Pseudorhodoferax
1.3.99.16	Propionivibrio
1.3.99.16	Silanimonas
1.4.1.13	Ruminiclostridium_1
1.3.99.29	Sphingomonas
1.3.99.29	Blastomonas
1.3.99.28	Novosphingobium
1.4.1.14	Simplicispira
1.3.99.16	Pseudorhodoferax
1.3.8.7	Smithella
1.3.8.8	Blastomonas
1.3.99.28	Caulobacter
1.3.98.1	Geothrix
1.3.99.16	Dechloromonas
1.3.98.1	Nitrospira
