GID,site_2,site_3,site_4,site_5,site_17,site_1,site_8,site_9,site_11,site_12,site_13,site_14,site_15,site_16,site_22,site_29,site_32,site_34,site_40,site_44,site_47,site_49,site_55,site_56,site_67,site_68,Influence
859,0.0949,0.1841,0.0837,0.1104,0.0,4.6101,0.0,0.1697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0908,0.0,0.0,3
715,0.0,0.0,0.0022,0.0018,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,26.17,0.0,0.0,0.0,0.0,3
503,0.0,0.0,0.0,0.0074,0.0,0.0,15.62,0.1786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
634,0.0,0.0,0.0022,0.0,0.0,0.0215,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8197,0.0,0.0,3
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0809,0.0,0.0,0.0,0.0,1.1913,0.0879,0.0,3
659,0.1518,0.1473,0.0793,0.1049,0.0,0.1077,0.0,0.1786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
490,0.0,0.0,0.0022,0.0,0.0,0.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3145,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,3
437,0.2087,0.5892,0.1587,0.2356,0.0,0.1077,0.0,0.0893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098,2.493,2
724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8011,0.0053,2
118,0.1328,0.1719,0.1653,0.243,0.0,0.1723,0.0,3.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
255,0.1707,0.2455,0.1521,0.2411,0.0,0.1723,0.0,2.9356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
550,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0988,0.0,0.0,0.0,0.0,0.0,15.2622,0.0,0.0,0.0,2
478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049,5.8434,2
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.268,1
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.2288,0.0,1
719,0.0,0.0,0.0,0.0,0.0,0.0,28.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,0.0,0.0,0.0,0.0,0.0,0.0,11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.978,0.0,0.0,1
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.6783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
