4413327.0 k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,0,0.04744,0.03939,0,0.0267,0.12003,0.13536,0.05278,0.04561,0,0.10875,0.02419,0,0,0,0.15279,0,0.00856,0.07399,0.13619,0.01348,0
1117319.0 k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,0,0.00667,0,0,0.00862,0,0,0,0,0,0,0.00971,0,0,0,0,0.04858,0,0.06864,0.03388,0,0
f__unspecific_Lactobacillales,,,,,0,0.00655,0.00645,0,0.0362,0.00343,0,0,0.07696,0,0.07448,0.01481,0,0,0,0,0,0,0,0,0.03042,0
f__unspecific_ML615J-28,,,,,0,0.06864,0.02888,0,0.10065,0.05952,0,0.07354,0.06452,0,0.04554,0.00556,0.0144,0.02968,0.03634,0.03696,0.09469,0.0318,0.09178,0.0901,0.10268,0.10975
f__unspecific_RF39,,,,,0,0.01114,0.00548,0,0,0.02066,0.02738,0.01859,0.01112,0.18654,0.08014,0,0.02943,0,0.34907,0.03633,0.03411,0,0.08822,0.05658,0.1747,0.15195
368490.0 k__Bacteria,p__Firmicutes,c__Bacilli,o__Turicibacterales,f__Turicibacteraceae,0,0.00418,0,0.03946,0.0324,0.00282,0,0.00697,0.02168,0,0.00699,0.02735,0,0,0.01689,0,0.07035,0.02424,0.00945,0.04244,0,0.0095
f__unspecific_Bacteria,,,,,0,0.01855,0.00449,0,0,0.0041,0,0.01692,0.01458,0,0.01444,0.0139,0,1.09825,0,0.00924,0.23937,0.00867,0,0.01287,0,0.02845
f__unspecific_Firmicutes,,,,,0,0.00332,0.00327,0.0209,0.00429,0.00224,0,0,0.02253,0,0.02221,0.00724,0,0,0,0,0,0,0,0,0,0
49877.0 k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,0,0,0.03386,0,0,0.00335,0,0.02219,0.00575,0,0,0.01447,0,0.45943,0.13318,0.05595,0.12184,0.19284,0.09001,0.01685,0.16159,0.23173
676447.0 k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,0,0,0.00298,0,0,0.00306,0,0,0,0.4707,0,0.03353,0,0,0,0,0.05072,0.74007,0.35632,0.03853,0,0.03449
f__unspecific_Burkholderiales,,,,,0,0,0.00586,0,0.01248,0.01537,0,0,0.00408,0,0.0089,0,0,0,0.01817,0,0,0,0,0,0.02995,0
4352677.0 k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,0,0,0.01333,0,0,0,0,0.0082,0.01669,0,0,0.00779,0,0,0,0,0,0,0.04447,0,0,0.01676
775866.0 k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Syntrophomonadaceae,0,0,0.00758,0,0,0.07436,0,0,0.80479,0,0,0,0,0,3.26643,4.6168,0.08245,0,0,0.49824,0,0
150935.0 k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,0,0,0.00936,0.10473,0,0,0,0,0,0,0,0.00864,0,0,0,0,0,0.00591,0.0215,0.01674,0.39746,0.18905
245298.0 k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,0,0,0.16424,0.15788,0.01192,0.16823,0.05412,0,0.22342,0.3562,0.36816,0.0059,0,0.02291,0.63809,1.77702,0.0124,0,0.07241,1.3941,0.59143,1.3229
f__unspecific_Alphaproteobacteria,,,,,0,0,0.00496,0,0,0,0,0,0,0,0.06538,0.01053,0,0,0.01463,0,0,0,0,0,0,0
f__unspecific_Opitutae,,,,,0,0,0.01065,0,0,0.00456,0.01995,0.01505,0,0,0,0,0.03574,0.05736,0,0,0,0.01345,0.00408,0.02061,0.022,0
f__unspecific_Proteobacteria,,,,,0,0,0.00524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__unspecific_ssigne,,,,,0,0,0,0.03627,0,0.00243,0,0,0,0,0,0.00834,0.02159,0,0,0,0,0,0,0.00901,0,0.01626
170834.0 k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,0,0,0,0,0.00414,0.00254,0,0,0,0,0,0,0,0,0,0.06377,0.01243,0.04153,0.01418,0,0,0.1055
828284.0 k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,0,0,0,0,0.00701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01721,0,0
290674.0 k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,0,0,0,0,0.00963,0,0,0.00497,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0
4323059.0 k__Bacteria,p__Firmicutes,c__Bacilli,o__Gemellales,f__Gemellaceae,0,0,0,0,0.00804,0,0,0.01383,0,0,0,0,0,0,0,0,0.01428,0,0,0,0,0.03535
f__unspecific_TM7-3,,,,,0,0,0,0,0.00423,0.00331,0,0,0.00392,0,0,0,0,0,0,0,0,0.01084,0,0.00415,0,0
741867.0 k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Dermabacteraceae,0,0,0,0,0,0.00227,0,0,0,0,0,0,0,0,0,0,0,0,0.01256,0,0,0
208141.0 k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,0,0,0,0,0,0.00357,0.01395,0,0,0,0.00107,0,0,0,0,0,0,0,0,0,0.00377,0
139607.0 k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__EtOH8,0,0,0,0,0,0.02295,0,0,0.01963,0,0,0,0,0,0.09939,0.29107,0,0,0,0.10085,0,0
1122185.0 k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Gracilibacteraceae,0,0,0,0,0,0.03766,0,0,0.009,0,0.77542,0,0,0,0,0,0,0,0,0.47077,0,0
f__unspecific_CW040,,,,,0,0,0,0,0,0.00441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636430.0 k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,0,0,0,0,0,0.00225,0,0,0,0,0.00894,0,0,0,0,0,0,0,0,0,0,0
339472.0 k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,0,0,0,0,0,0.00161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076,0,0
f__unspecific_SBla14,,,,,0,0,0,0,0,0.00415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01868
544426.0 k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,0,0,0,0,0,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f__unspecific_Solibacterales,,,,,0,0,0,0,0,0.02551,0,0,0.06302,0,0,0,0,0,0.21201,0.68373,0,0,0,0.06983,0,0
1115611.0 k__Bacteria,p__Spirochaetes,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,0,0,0,0,0,0.05901,0,0,0.46374,0,0,0,0,0,5.48467,4.96081,0,0,0,0.34852,0,0
f__unspecific_Thermoanaerobacterales,,,,,0,0,0,0,0,0.12253,0,0,0.47338,0,0.11705,0,0,0,3.34309,4.66392,0.01739,0,0,1.95842,0.02111,0
f__unspecific_Clostridia,,,,,0,0,0,0,0,0.00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571864.0 k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Gordoniaceae,0,0,0,0,0,0,0.03412,0,0,0,0,0,0.01223,0.01635,0.01403,0,0,0.01151,0,0,0.00538,0
f__unspecific_Bacillales,,,,,0,0,0,0,0,0,0.07039,0,0,0,0.00958,0.01302,0,0,0,0,0,0.07805,0.04859,0.04055,0,0
552696.0 k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Elusimicrobiales,f__Elusimicrobiaceae,0,0,0,0,0,0,0.03691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554553.0 k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,0,0,0,0,0,0,0,0.00591,0.00571,0,0,0,0,0,0.04297,0.0231,0,0.31414,0,0,0.0288,0
740579.0 k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__RF16,0,0,0,0,0,0,0,0,0.01651,0,0,0,0,0,0,0,0,0,0.0081,0,0,0
4476462.0 k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,0,0,0,0,0,0,0,0,0,0,0.24798,0,0,0,0,0,0,0,0,0,0,0
4458214.0 k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,0,0,0,0,0,0,0,0,0,0,0.00253,0,0,0,0,0.04275,0.01784,0,0,0.00278,0.00879,0.00573
1764742.0 k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,0,0,0,0,0,0,0,0,0,0,0.02007,0,0,0,0,0.98727,0.05828,4.42385,0.58976,0.16474,0.89371,0.32736
693329.0 k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Methylophilales,f__Methylophilaceae,0,0,0,0,0,0,0,0,0,0,0.02332,0,0,0,0,0,0,0,0,0,0,0
4444272.0 k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,0,0,0,0,0,0,0,0,0,0,0.01734,0.01063,0,0,0,0,0,0,0,0,0,0
f__unspecific_Bacilli,,,,,0,0,0,0,0,0,0,0,0,0,0.00296,0.04285,0,0,0,0,0,0,0,0,0,0
f__unspecific_VC2_1_Bac22,,,,,0,0,0,0,0,0,0,0,0,0,0.00375,0,0,0,0,0,0,0,0,0,0,0
155471.0 k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae,0,0,0,0,0,0,0,0,0,0,0,0.00346,0,0,0,0,0,0,0,0,0,0
826084.0 k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Cystobacterineae,0,0,0,0,0,0,0,0,0,0,0,0.02335,0,0,0,0,0,0,0,0,0,0
4408272.0 k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,0,0,0,0,0,0,0,0,0,0,0,0.04171,0,0,0,0,0,0.01734,0.0054,0.00676,0.02139,0
f__unspecific_CK-1C4-19,,,,,0,0,0,0,0,0,0,0,0,0,0,0.00556,0,0,0,0,0,0,0,0,0,0
f__unspecific_Tenericutes,,,,,0,0,0,0,0,0,0,0,0,0,0,0.08254,0,0,0,0,0,0,0,0,0,0
1667535.0 k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Intrasporangiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.01542,0,0,0,0,0.06762,0,0.01023,0,0.02554
f__unspecific_Natranaerobiales,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0,0,0,0,0,0,0,0,0
