Kingdom,Phylum,Class,Order,Familia,Genera,GID,site_2,site_3,site_4,site_5,site_17,site_18,site_21,site_24,site_26,site_28,site_35,site_57,site_58,site_59,site_60,site_69,site_70
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,462,5.444887118193891,0.9820770930518046,1.4566851047887697,2.1792748021351,0.0,0.5536680508367937,0.0,0.004966229638458482,0.0,0.04304104550612357,0.021709240900209856,0.2467232074016962,0.07684918347742556,0.09809760711908348,0.05694152816826222,0.0,0.0
Bacteria,Cyanobacteria,Cyanobacteria,Chroococcales,Microcystaceae,Microcystis,463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004966229638458482,0.0,0.003912822318738506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,465,0.0,0.0,0.004407519227802631,0.0,0.0,0.025166729583490623,0.0,0.0,0.0,0.003912822318738506,0.0,0.0,0.01921229586935639,0.0,0.0,0.0,0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mobilitalea,466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,467,1.859229747675963,0.1964154186103609,0.15646693258699343,1.4522363335173938,0.0,0.28941739021014223,0.0,0.0,0.0,0.03521540086864655,0.0,0.0,0.30739673390970224,0.28027887748309566,0.0,0.0,0.0
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,MSBL7,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,MWH-UniP1_aquatic_group,469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,470,0.0,0.0,0.0,0.0018406037180195103,0.0,0.0,0.0023729483883725526,0.0,0.0,0.011738466956215518,0.01447282726680657,0.07710100231303006,0.0,0.007006971937077392,0.003558845510516389,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Mycoplana,471,0.0,0.0,0.0,0.0,0.31762837480148226,0.0,0.0,0.0,0.0,0.0,0.0,0.2313030069390902,0.0,0.0,0.07295633296558596,0.0,0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Natranaerovirga,472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013195745691589032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Naxibacter,473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,474,0.0,0.0,0.0,0.0,0.05293806246691372,0.0,0.0,0.004966229638458482,0.0,0.03130257854990805,0.01447282726680657,0.015420200462606013,0.0,0.0,0.14413324317591375,0.0,0.0
