Kingdom,Phylum,Class,Order,Familia,Genera,GID,site_6,site_7,site_10,site_19,site_20,site_23,site_25,site_27,site_30,site_31,site_33,site_36,site_37,site_38,site_39,site_41,site_42,site_43,site_45,site_46,site_48,site_50,site_51,site_52,site_53,site_54,site_61,site_62,site_63,site_64,site_65,site_66
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Aquabacter,90,0.0,0.0,0.0,0.0,0.0,0.0,0.03737350505979761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026166593981683386,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,91,0.0,0.21826118588577662,2.42,0.0,0.014446691707598961,0.0,0.8107175712971482,0.0,0.0,0.0,0.5958829902491874,0.29173809738638756,0.19081479548568073,0.0,0.0,0.007502719735904265,0.0,0.0,0.0013475817645235626,0.0,0.0,0.0,0.0,0.0007963178263708611,0.0,0.0019083969465648856,0.29750836742283376,1.1426079372001745,1.1095700416088765,7.76,0.0,2.18
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Aquamicrobium,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Aquaspirillum_arcticum_group,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Alphaproteobacteria,Neisseriales,Alcaligenaceae,Aquaspirillum_polymorphum,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00436109899694723,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,95,0.0,0.0024251242876197404,0.0,0.0,0.0,0.0,0.1667433302667893,0.0,0.0,0.0,0.027085590465872153,0.012030437005624228,0.011416269815382608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1238378579397543,0.16136066288704753,0.09246417013407304,0.0,0.0,0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Aquimonas,96,0.0,0.004850248575239481,0.0,0.0,0.0,0.0,0.02874885004599816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01859427296392711,0.0,0.0,0.0,0.0,0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Aquincola,97,0.0,0.0024251242876197404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003007609251406057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Aquipuribacter,98,0.0,0.021826118588577664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Arachidicoccus,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017917151093344373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
